############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8316.90750694# Server sent data 000000458
8316.95815706# Server sent data 000000459
8317.00851893# Server sent data 000000460
8317.05886197# Server sent data 000000461
8317.10921907# Server sent data 000000462
8317.159729# Server sent data 000000463
8317.21044588# Server sent data 000000464
8317.26190901# Server sent data 000000465
8317.31247306# Server sent data 000000466
8317.36290503# Server sent data 000000467
8317.41341305# Server sent data 000000468
8317.41508603# Server received NAK 467
8317.41520405# Server resent (NAK) 000000467
8317.46439791# Server sent data 000000469
8317.51489401# Server sent data 000000470
8317.56564689# Server sent data 000000471
8317.61648607# Server sent data 000000472
8317.6668849# Server sent data 000000473
8317.71754599# Server sent data 000000474
8317.76827312# Server sent data 000000475
8317.81863499# Server sent data 000000476
8317.86962008# Server sent data 000000477
8317.92025709# Server sent data 000000478
8317.97093201# Server sent data 000000479
8318.02150798# Server sent data 000000480
8318.07249689# Server sent data 000000481
8318.12310195# Server sent data 000000482
8318.17371511# Server sent data 000000483
8318.224123# Server sent data 000000484
8318.27459311# Server sent data 000000485
8318.32595992# Server sent data 000000486
8318.37649894# Server sent data 000000487
8318.42754889# Server sent data 000000488
8318.47799897# Server sent data 000000489
8318.52894497# Server sent data 000000490
8318.57966399# Server sent data 000000491
8318.63013792# Server sent data 000000492
8318.68132591# Server sent data 000000493
8318.73178411# Server sent data 000000494
8318.78241611# Server sent data 000000495
8318.83319306# Server sent data 000000496
8318.88364506# Server sent data 000000497
8318.93402195# Server sent data 000000498
8318.98447895# Server sent data 000000499
8319.03500605# Server sent data 000000500
8319.0853219# Server sent data 000000501
8319.13644791# Server sent data 000000502
8319.18694091# Server sent data 000000503
8319.23731494# Server sent data 000000504
8319.28774095# Server sent data 000000505
8319.33843994# Server sent data 000000506
8319.38908195# Server sent data 000000507
8319.43955708# Server sent data 000000508
8319.4899981# Server sent data 000000509
8319.54048491# Server sent data 000000510
8319.59082603# Server sent data 000000511
8319.64192891# Server sent data 000000512
8319.69242406# Server sent data 000000513
8319.74312592# Server sent data 000000514
8319.79366899# Server sent data 000000515
8319.844064# Server sent data 000000516
8319.89451194# Server sent data 000000517
8319.94544697# Server sent data 000000518
8319.99645591# Server sent data 000000519
8320.04682803# Server sent data 000000520
8320.09739709# Server sent data 000000521
8320.14786291# Server sent data 000000522
8320.19820499# Server sent data 000000523
8320.24862194# Server sent data 000000524
8320.2997849# Server sent data 000000525
8320.35099101# Server sent data 000000526
8320.40138006# Server sent data 000000527
8320.4518609# Server sent data 000000528
8320.50230598# Server sent data 000000529
8320.55276608# Server sent data 000000530
